trial_num,country_pair,model_name,temperature,sim_score_1_to,sim_score_2_to,sim_score_1_and,sim_score_2_and,sim_score_1_degree,sim_score_2_degree,sim_diff_to,sim_diff_and,sim_diff_degree
1,U.S.A.-Mexico,gpt-4o-mini,0.8,15,15,15,15,10,15,0,0,-5
2,U.S.A.-Mexico,gpt-4o-mini,0.8,15,15,12,15,12,15,0,-3,-3
3,U.S.A.-Mexico,gpt-4o-mini,0.8,10,15,12,15,15,15,-5,-3,0
4,U.S.A.-Mexico,gpt-4o-mini,0.8,12,15,12,15,12,15,-3,-3,-3
5,U.S.A.-Mexico,gpt-4o-mini,0.8,12,15,12,15,12,15,-3,-3,-3
6,U.S.A.-Mexico,gpt-4o-mini,0.8,10,15,12,15,12,12,-5,-3,0
7,U.S.A.-Mexico,gpt-4o-mini,0.8,12,15,12,15,15,15,-3,-3,0
8,U.S.A.-Mexico,gpt-4o-mini,0.8,12,15,12,15,14,15,-3,-3,-1
9,U.S.A.-Mexico,gpt-4o-mini,0.8,10,15,12,15,12,15,-5,-3,-3
10,U.S.A.-Mexico,gpt-4o-mini,0.8,10,12,10,15,15,15,-2,-5,0
11,U.S.A.-Mexico,gpt-4o-mini,0.8,12,15,12,15,12,15,-3,-3,-3
12,U.S.A.-Mexico,gpt-4o-mini,0.8,12,15,12,15,12,15,-3,-3,-3
13,U.S.A.-Mexico,gpt-4o-mini,0.8,12,15,12,15,15,15,-3,-3,0
14,U.S.A.-Mexico,gpt-4o-mini,0.8,12,15,12,15,12,15,-3,-3,-3
15,U.S.A.-Mexico,gpt-4o-mini,0.8,10,15,12,15,12,10,-5,-3,2
16,U.S.A.-Mexico,gpt-4o-mini,0.8,12,15,10,15,10,15,-3,-5,-5
17,U.S.A.-Mexico,gpt-4o-mini,0.8,10,15,12,15,12,12,-5,-3,0
18,U.S.A.-Mexico,gpt-4o-mini,0.8,10,14,12,15,12,15,-4,-3,-3
19,U.S.A.-Mexico,gpt-4o-mini,0.8,12,15,12,15,12,15,-3,-3,-3
20,U.S.A.-Mexico,gpt-4o-mini,0.8,12,15,15,15,10,15,-3,0,-5
21,U.S.A.-Mexico,gpt-4o-mini,0.8,10,15,15,15,12,15,-5,0,-3
22,U.S.A.-Mexico,gpt-4o-mini,0.8,12,15,14,15,12,14,-3,-1,-2
23,U.S.A.-Mexico,gpt-4o-mini,0.8,12,15,12,15,12,12,-3,-3,0
24,U.S.A.-Mexico,gpt-4o-mini,0.8,10,15,12,15,15,15,-5,-3,0
25,U.S.A.-Mexico,gpt-4o-mini,0.8,12,15,12,15,12,15,-3,-3,-3
26,U.S.A.-Mexico,gpt-4o-mini,0.8,10,15,12,15,15,15,-5,-3,0
27,U.S.A.-Mexico,gpt-4o-mini,0.8,10,15,12,15,15,15,-5,-3,0
28,U.S.A.-Mexico,gpt-4o-mini,0.8,12,15,15,15,15,15,-3,0,0
29,U.S.A.-Mexico,gpt-4o-mini,0.8,12,15,15,15,12,15,-3,0,-3
30,U.S.A.-Mexico,gpt-4o-mini,0.8,12,15,12,15,15,12,-3,-3,3
31,U.S.A.-Mexico,gpt-4o-mini,0.8,12,15,15,15,15,15,-3,0,0
32,U.S.A.-Mexico,gpt-4o-mini,0.8,12,15,12,15,12,15,-3,-3,-3
33,U.S.A.-Mexico,gpt-4o-mini,0.8,12,15,12,15,12,15,-3,-3,-3
34,U.S.A.-Mexico,gpt-4o-mini,0.8,12,15,10,15,12,15,-3,-5,-3
35,U.S.A.-Mexico,gpt-4o-mini,0.8,12,15,12,15,12,12,-3,-3,0
36,U.S.A.-Mexico,gpt-4o-mini,0.8,12,15,15,15,15,15,-3,0,0
37,U.S.A.-Mexico,gpt-4o-mini,0.8,12,15,15,15,15,15,-3,0,0
38,U.S.A.-Mexico,gpt-4o-mini,0.8,12,15,12,15,15,14,-3,-3,1
39,U.S.A.-Mexico,gpt-4o-mini,0.8,12,15,15,15,15,12,-3,0,3
40,U.S.A.-Mexico,gpt-4o-mini,0.8,10,15,12,15,12,12,-5,-3,0
41,U.S.A.-Mexico,gpt-4o-mini,0.8,12,15,15,15,12,15,-3,0,-3
42,U.S.A.-Mexico,gpt-4o-mini,0.8,12,15,12,15,15,14,-3,-3,1
43,U.S.A.-Mexico,gpt-4o-mini,0.8,12,15,12,15,15,15,-3,-3,0
44,U.S.A.-Mexico,gpt-4o-mini,0.8,12,15,12,15,14,15,-3,-3,-1
45,U.S.A.-Mexico,gpt-4o-mini,0.8,12,15,12,15,12,15,-3,-3,-3
46,U.S.A.-Mexico,gpt-4o-mini,0.8,12,15,15,15,12,15,-3,0,-3
47,U.S.A.-Mexico,gpt-4o-mini,0.8,12,15,12,15,12,15,-3,-3,-3
48,U.S.A.-Mexico,gpt-4o-mini,0.8,12,15,10,15,10,15,-3,-5,-5
49,U.S.A.-Mexico,gpt-4o-mini,0.8,12,15,12,15,12,15,-3,-3,-3
50,U.S.A.-Mexico,gpt-4o-mini,0.8,12,15,12,15,12,15,-3,-3,-3
51,U.S.A.-Mexico,gpt-4o-mini,0.8,12,15,15,15,15,15,-3,0,0
52,U.S.A.-Mexico,gpt-4o-mini,0.8,12,15,10,15,15,15,-3,-5,0
53,U.S.A.-Mexico,gpt-4o-mini,0.8,10,15,12,15,12,12,-5,-3,0
54,U.S.A.-Mexico,gpt-4o-mini,0.8,12,15,12,15,12,15,-3,-3,-3
55,U.S.A.-Mexico,gpt-4o-mini,0.8,10,15,15,15,15,15,-5,0,0
56,U.S.A.-Mexico,gpt-4o-mini,0.8,10,15,15,15,12,15,-5,0,-3
57,U.S.A.-Mexico,gpt-4o-mini,0.8,12,15,12,15,15,15,-3,-3,0
58,U.S.A.-Mexico,gpt-4o-mini,0.8,12,12,15,15,12,15,0,0,-3
59,U.S.A.-Mexico,gpt-4o-mini,0.8,10,15,12,15,14,12,-5,-3,2
60,U.S.A.-Mexico,gpt-4o-mini,0.8,12,15,12,15,15,15,-3,-3,0
61,U.S.A.-Mexico,gpt-4o-mini,0.8,12,15,15,15,12,15,-3,0,-3
62,U.S.A.-Mexico,gpt-4o-mini,0.8,12,15,12,15,14,15,-3,-3,-1
63,U.S.A.-Mexico,gpt-4o-mini,0.8,12,15,15,15,15,15,-3,0,0
64,U.S.A.-Mexico,gpt-4o-mini,0.8,10,15,12,15,10,15,-5,-3,-5
65,U.S.A.-Mexico,gpt-4o-mini,0.8,12,15,12,15,15,15,-3,-3,0
66,U.S.A.-Mexico,gpt-4o-mini,0.8,12,15,12,15,14,10,-3,-3,4
67,U.S.A.-Mexico,gpt-4o-mini,0.8,12,15,12,15,10,15,-3,-3,-5
68,U.S.A.-Mexico,gpt-4o-mini,0.8,10,15,10,15,12,15,-5,-5,-3
69,U.S.A.-Mexico,gpt-4o-mini,0.8,12,15,12,15,12,10,-3,-3,2
