,country_pair,prompt_style,model_name,temperature,sim_score_1,sim_score_2,sim_diff,p-value,p-values
0,U.S.A.-Mexico,Single_Similar_And (SSA),mistral_7B,0.001,18.0,18.0,0.0,,
1,U.S.S.R.-Poland,Single_Similar_And (SSA),mistral_7B,0.001,15.0,10.0,5.0,,
2,China-Albania,Single_Similar_And (SSA),mistral_7B,0.001,15.0,1.0,14.0,,
3,U.S.A.-Israel,Single_Similar_And (SSA),mistral_7B,0.001,18.0,18.0,0.0,,
4,Japan-Philippines,Single_Similar_And (SSA),mistral_7B,0.001,16.0,16.0,0.0,,
5,U.S.A.-Canada,Single_Similar_And (SSA),mistral_7B,0.001,18.0,18.0,0.0,,
6,U.S.S.R.-Israel,Single_Similar_And (SSA),mistral_7B,0.001,15.0,1.0,14.0,,
7,England-Ireland,Single_Similar_And (SSA),mistral_7B,0.001,19.0,18.0,1.0,,
8,Germany-Austria,Single_Similar_And (SSA),mistral_7B,0.001,18.0,18.0,0.0,,
9,U.S.S.R.-France,Single_Similar_And (SSA),mistral_7B,0.001,10.0,10.0,0.0,,
10,Belgium-Luxembourg,Single_Similar_And (SSA),mistral_7B,0.001,19.0,19.0,0.0,,
11,U.S.A.-U.S.S.R.,Single_Similar_And (SSA),mistral_7B,0.001,10.0,10.0,0.0,,
12,China-North Korea,Single_Similar_And (SSA),mistral_7B,0.001,17.0,17.0,0.0,,
13,India-Sri Lanka,Single_Similar_And (SSA),mistral_7B,0.001,18.0,18.0,0.0,,
14,U.S.A.-France,Single_Similar_And (SSA),mistral_7B,0.001,15.0,18.0,-3.0,,
15,U.S.S.R.-Cuba,Single_Similar_And (SSA),mistral_7B,0.001,15.0,1.0,14.0,,
16,England-Jordan,Single_Similar_And (SSA),mistral_7B,0.001,15.0,15.0,0.0,,
17,France-Israel,Single_Similar_And (SSA),mistral_7B,0.001,17.0,15.0,2.0,,
18,U.S.A.-Germany,Single_Similar_And (SSA),mistral_7B,0.001,15.0,16.0,-1.0,,
19,U.S.S.R.-Syria,Single_Similar_And (SSA),mistral_7B,0.001,1.0,1.0,0.0,,
20,France-Algeria,Single_Similar_And (SSA),mistral_7B,0.001,16.0,16.0,0.0,,
21,U.S.A.-Mexico,Single_Similar_And (SSA),mistral_7B,0.5,15.0,18.0,-3.0,,
22,U.S.S.R.-Poland,Single_Similar_And (SSA),mistral_7B,0.5,4.0,10.0,-6.0,,
23,China-Albania,Single_Similar_And (SSA),mistral_7B,0.5,13.0,0.0,13.0,,
24,U.S.A.-Israel,Single_Similar_And (SSA),mistral_7B,0.5,17.0,18.0,-1.0,,
25,Japan-Philippines,Single_Similar_And (SSA),mistral_7B,0.5,17.0,16.0,1.0,,
26,U.S.A.-Canada,Single_Similar_And (SSA),mistral_7B,0.5,19.0,18.0,1.0,,
27,U.S.S.R.-Israel,Single_Similar_And (SSA),mistral_7B,0.5,13.0,16.0,-3.0,,
28,England-Ireland,Single_Similar_And (SSA),mistral_7B,0.5,9.0,18.0,-9.0,,
29,Germany-Austria,Single_Similar_And (SSA),mistral_7B,0.5,18.0,19.0,-1.0,,
30,U.S.S.R.-France,Single_Similar_And (SSA),mistral_7B,0.5,7.0,10.0,-3.0,,
31,Belgium-Luxembourg,Single_Similar_And (SSA),mistral_7B,0.5,18.0,18.0,0.0,,
32,U.S.A.-U.S.S.R.,Single_Similar_And (SSA),mistral_7B,0.5,5.0,10.0,-5.0,,
33,China-North Korea,Single_Similar_And (SSA),mistral_7B,0.5,17.0,8.0,9.0,,
34,India-Sri Lanka,Single_Similar_And (SSA),mistral_7B,0.5,17.0,17.0,0.0,,
35,U.S.A.-France,Single_Similar_And (SSA),mistral_7B,0.5,15.0,17.0,-2.0,,
36,U.S.S.R.-Cuba,Single_Similar_And (SSA),mistral_7B,0.5,10.0,10.0,0.0,,
37,England-Jordan,Single_Similar_And (SSA),mistral_7B,0.5,8.0,7.0,1.0,,
38,France-Israel,Single_Similar_And (SSA),mistral_7B,0.5,8.0,19.0,-11.0,,
39,U.S.A.-Germany,Single_Similar_And (SSA),mistral_7B,0.5,17.0,18.0,-1.0,,
40,U.S.S.R.-Syria,Single_Similar_And (SSA),mistral_7B,0.5,10.0,1.0,9.0,,
