trial_num,country_pair,model_name,temperature,sim_score_1_to,sim_score_2_to,sim_score_1_and,sim_score_2_and,sim_score_1_degree,sim_score_2_degree,sim_diff_to,sim_diff_and,sim_diff_degree
1,U.S.A.-Mexico,gpt-4o,0.8,10,10,10,12,10,10,0,-2,0
2,U.S.A.-Mexico,gpt-4o,0.8,10,10,11,15,10,12,0,-4,-2
3,U.S.A.-Mexico,gpt-4o,0.8,10,10,10,15,10,12,0,-5,-2
4,U.S.A.-Mexico,gpt-4o,0.8,12,12,10,10,7,9,0,0,-2
5,U.S.A.-Mexico,gpt-4o,0.8,8,12,12,8,10,12,-4,4,-2
6,U.S.A.-Mexico,gpt-4o,0.8,10,10,10,10,10,10,0,0,0
7,U.S.A.-Mexico,gpt-4o,0.8,10,10,10,5,10,8,0,5,2
8,U.S.A.-Mexico,gpt-4o,0.8,10,12,10,10,10,12,-2,0,-2
9,U.S.A.-Mexico,gpt-4o,0.8,12,10,10,15,5,10,2,-5,-5
10,U.S.A.-Mexico,gpt-4o,0.8,10,12,10,12,10,10,-2,-2,0
11,U.S.A.-Mexico,gpt-4o,0.8,12,14,10,15,10,12,-2,-5,-2
12,U.S.A.-Mexico,gpt-4o,0.8,10,10,10,10,10,13,0,0,-3
13,U.S.A.-Mexico,gpt-4o,0.8,12,12,10,14,10,12,0,-4,-2
14,U.S.A.-Mexico,gpt-4o,0.8,10,12,12,12,8,12,-2,0,-4
15,U.S.A.-Mexico,gpt-4o,0.8,10,14,12,15,10,12,-4,-3,-2
16,U.S.A.-Mexico,gpt-4o,0.8,10,12,10,10,10,10,-2,0,0
17,U.S.A.-Mexico,gpt-4o,0.8,12,14,12,10,10,10,-2,2,0
18,U.S.A.-Mexico,gpt-4o,0.8,10,10,12,10,8,14,0,2,-6
19,U.S.A.-Mexico,gpt-4o,0.8,10,10,10,15,10,12,0,-5,-2
20,U.S.A.-Mexico,gpt-4o,0.8,14,10,10,12,10,12,4,-2,-2
21,U.S.A.-Mexico,gpt-4o,0.8,10,15,8,10,10,12,-5,-2,-2
22,U.S.A.-Mexico,gpt-4o,0.8,10,10,10,14,10,12,0,-4,-2
23,U.S.A.-Mexico,gpt-4o,0.8,10,12,10,10,10,12,-2,0,-2
24,U.S.A.-Mexico,gpt-4o,0.8,10,12,10,12,10,14,-2,-2,-4
