country_pair,prompt_style,model_name,temperature,sim_score_1,sim_score_2,sim_diff,p-value
U.S.A.-Mexico,single,mistral_7B,0.001,12,15,-3,
U.S.S.R.-Poland,single,mistral_7B,0.001,10,0,10,
China-Albania,single,mistral_7B,0.001,0,0,0,
U.S.A.-Israel,single,mistral_7B,0.001,15,18,-3,
Japan-Philippines,single,mistral_7B,0.001,10,6,4,
U.S.A.-Canada,single,mistral_7B,0.001,18,15,3,
U.S.S.R.-Israel,single,mistral_7B,0.001,0,0,0,
England-Ireland,single,mistral_7B,0.001,8,8,0,
Germany-Austria,single,mistral_7B,0.001,15,18,-3,
U.S.S.R.-France,single,mistral_7B,0.001,6,0,6,
Belgium-Luxembourg,single,mistral_7B,0.001,18,18,0,
U.S.A.-U.S.S.R.,single,mistral_7B,0.001,0,0,0,
China-North Korea,single,mistral_7B,0.001,10,15,-5,
India-Sri Lanka,single,mistral_7B,0.001,15,18,-3,
U.S.A.-France,single,mistral_7B,0.001,15,10,5,
U.S.S.R.-Cuba,single,mistral_7B,0.001,15,0,15,
England-Jordan,single,mistral_7B,0.001,4,0,4,
France-Israel,single,mistral_7B,0.001,10,12,-2,
U.S.A.-Germany,single,mistral_7B,0.001,12,13,-1,
U.S.S.R.-Syria,single,mistral_7B,0.001,5,0,5,
France-Algeria,single,mistral_7B,0.001,10,15,-5,
