,country_pair,prompt_style,model_name,temperature,sim_score_1,sim_score_2,sim_diff,p-values
0,U.S.A.-Mexico,Dual_Similar_Degree (DSD),mistral_7B,0.001,8.0,8.0,0.0,[]
1,U.S.S.R.-Poland,Dual_Similar_Degree (DSD),mistral_7B,0.001,8.0,7.0,1.0,[]
2,China-Albania,Dual_Similar_Degree (DSD),mistral_7B,0.001,5.0,5.0,0.0,[]
3,U.S.A.-Israel,Dual_Similar_Degree (DSD),mistral_7B,0.001,8.0,8.0,0.0,[]
4,Japan-Philippines,Dual_Similar_Degree (DSD),mistral_7B,0.001,8.0,8.0,0.0,[]
5,U.S.A.-Canada,Dual_Similar_Degree (DSD),mistral_7B,0.001,19.0,19.0,0.0,[]
6,U.S.S.R.-Israel,Dual_Similar_Degree (DSD),mistral_7B,0.001,5.0,5.0,0.0,[]
7,England-Ireland,Dual_Similar_Degree (DSD),mistral_7B,0.001,,,,[]
8,Germany-Austria,Dual_Similar_Degree (DSD),mistral_7B,0.001,,,,[]
9,U.S.S.R.-France,Dual_Similar_Degree (DSD),mistral_7B,0.001,5.0,5.0,0.0,[]
10,Belgium-Luxembourg,Dual_Similar_Degree (DSD),mistral_7B,0.001,,,,[]
11,U.S.A.-U.S.S.R.,Dual_Similar_Degree (DSD),mistral_7B,0.001,5.0,5.0,0.0,[]
12,China-North Korea,Dual_Similar_Degree (DSD),mistral_7B,0.001,8.0,8.0,0.0,[]
13,India-Sri Lanka,Dual_Similar_Degree (DSD),mistral_7B,0.001,15.0,15.0,0.0,[]
14,U.S.A.-France,Dual_Similar_Degree (DSD),mistral_7B,0.001,8.0,8.0,0.0,[]
15,U.S.S.R.-Cuba,Dual_Similar_Degree (DSD),mistral_7B,0.001,8.0,8.0,0.0,[]
16,England-Jordan,Dual_Similar_Degree (DSD),mistral_7B,0.001,5.0,5.0,0.0,[]
17,France-Israel,Dual_Similar_Degree (DSD),mistral_7B,0.001,8.0,8.0,0.0,[]
18,U.S.A.-Germany,Dual_Similar_Degree (DSD),mistral_7B,0.001,8.0,8.0,0.0,[]
19,U.S.S.R.-Syria,Dual_Similar_Degree (DSD),mistral_7B,0.001,5.0,5.0,0.0,[]
20,France-Algeria,Dual_Similar_Degree (DSD),mistral_7B,0.001,15.0,15.0,0.0,[]
21,U.S.A.-Mexico,Dual_Similar_Degree (DSD),mistral_7B,0.5,8.0,8.0,0.0,[]
22,U.S.S.R.-Poland,Dual_Similar_Degree (DSD),mistral_7B,0.5,5.0,8.0,-3.0,[]
23,China-Albania,Dual_Similar_Degree (DSD),mistral_7B,0.5,3.0,4.0,-1.0,[]
24,U.S.A.-Israel,Dual_Similar_Degree (DSD),mistral_7B,0.5,16.0,17.0,-1.0,[]
25,Japan-Philippines,Dual_Similar_Degree (DSD),mistral_7B,0.5,18.0,16.0,2.0,[]
26,U.S.A.-Canada,Dual_Similar_Degree (DSD),mistral_7B,0.5,18.0,18.0,0.0,[]
27,U.S.S.R.-Israel,Dual_Similar_Degree (DSD),mistral_7B,0.5,4.0,8.0,-4.0,[]
28,England-Ireland,Dual_Similar_Degree (DSD),mistral_7B,0.5,8.0,8.0,0.0,[]
29,Germany-Austria,Dual_Similar_Degree (DSD),mistral_7B,0.5,8.0,9.0,-1.0,[]
30,U.S.S.R.-France,Dual_Similar_Degree (DSD),mistral_7B,0.5,5.0,5.0,0.0,[]
31,Belgium-Luxembourg,Dual_Similar_Degree (DSD),mistral_7B,0.5,19.0,18.0,1.0,[]
32,U.S.A.-U.S.S.R.,Dual_Similar_Degree (DSD),mistral_7B,0.5,0.0,0.0,0.0,[]
33,China-North Korea,Dual_Similar_Degree (DSD),mistral_7B,0.5,5.0,3.0,2.0,[]
34,India-Sri Lanka,Dual_Similar_Degree (DSD),mistral_7B,0.5,7.0,7.0,0.0,[]
35,U.S.A.-France,Dual_Similar_Degree (DSD),mistral_7B,0.5,8.0,8.0,0.0,[]
36,U.S.S.R.-Cuba,Dual_Similar_Degree (DSD),mistral_7B,0.5,8.0,7.0,1.0,[]
37,England-Jordan,Dual_Similar_Degree (DSD),mistral_7B,0.5,8.0,7.0,1.0,[]
38,France-Israel,Dual_Similar_Degree (DSD),mistral_7B,0.5,8.0,8.0,0.0,[]
39,U.S.A.-Germany,Dual_Similar_Degree (DSD),mistral_7B,0.5,8.0,8.0,0.0,[]
40,U.S.S.R.-Syria,Dual_Similar_Degree (DSD),mistral_7B,0.5,8.0,8.0,0.0,[]
41,France-Algeria,Dual_Similar_Degree (DSD),mistral_7B,0.5,7.0,7.0,0.0,[]
42,U.S.A.-Mexico,Dual_Similar_Degree (DSD),mistral_7B,1.0,7.0,8.0,-1.0,[]
43,U.S.S.R.-Poland,Dual_Similar_Degree (DSD),mistral_7B,1.0,0.0,7.0,-7.0,[]
44,China-Albania,Dual_Similar_Degree (DSD),mistral_7B,1.0,5.0,6.0,-1.0,[]
45,U.S.A.-Israel,Dual_Similar_Degree (DSD),mistral_7B,1.0,18.0,17.0,1.0,[]
46,Japan-Philippines,Dual_Similar_Degree (DSD),mistral_7B,1.0,18.0,14.0,4.0,[]
47,U.S.A.-Canada,Dual_Similar_Degree (DSD),mistral_7B,1.0,9.0,9.0,0.0,[]
48,U.S.S.R.-Israel,Dual_Similar_Degree (DSD),mistral_7B,1.0,3.0,6.0,-3.0,[]
49,England-Ireland,Dual_Similar_Degree (DSD),mistral_7B,1.0,9.0,9.0,0.0,[]
50,Germany-Austria,Dual_Similar_Degree (DSD),mistral_7B,1.0,8.0,9.0,-1.0,[]
51,U.S.S.R.-France,Dual_Similar_Degree (DSD),mistral_7B,1.0,6.0,7.0,-1.0,[]
52,Belgium-Luxembourg,Dual_Similar_Degree (DSD),mistral_7B,1.0,7.0,7.0,0.0,[]
53,U.S.A.-U.S.S.R.,Dual_Similar_Degree (DSD),mistral_7B,1.0,0.0,2.0,-2.0,[]
54,China-North Korea,Dual_Similar_Degree (DSD),mistral_7B,1.0,6.0,6.0,0.0,[]
55,India-Sri Lanka,Dual_Similar_Degree (DSD),mistral_7B,1.0,7.0,8.0,-1.0,[]
56,U.S.A.-France,Dual_Similar_Degree (DSD),mistral_7B,1.0,8.0,8.0,0.0,[]
57,U.S.S.R.-Cuba,Dual_Similar_Degree (DSD),mistral_7B,1.0,6.0,4.0,2.0,[]
58,England-Jordan,Dual_Similar_Degree (DSD),mistral_7B,1.0,7.0,7.0,0.0,[]
59,France-Israel,Dual_Similar_Degree (DSD),mistral_7B,1.0,7.0,7.0,0.0,[]
60,U.S.A.-Germany,Dual_Similar_Degree (DSD),mistral_7B,1.0,8.0,8.0,0.0,[]
61,U.S.S.R.-Syria,Dual_Similar_Degree (DSD),mistral_7B,1.0,8.0,7.0,1.0,[]
62,France-Algeria,Dual_Similar_Degree (DSD),mistral_7B,1.0,10.0,13.0,-3.0,[]
63,U.S.A.-Mexico,Dual_Similar_Degree (DSD),mistral_7B,1.5,9.0,8.0,1.0,[]
64,U.S.S.R.-Poland,Dual_Similar_Degree (DSD),mistral_7B,1.5,5.0,8.0,-3.0,[]
65,China-Albania,Dual_Similar_Degree (DSD),mistral_7B,1.5,7.0,6.0,1.0,[]
66,U.S.A.-Israel,Dual_Similar_Degree (DSD),mistral_7B,1.5,7.0,9.0,-2.0,[]
67,Japan-Philippines,Dual_Similar_Degree (DSD),mistral_7B,1.5,8.0,8.0,0.0,[]
68,U.S.A.-Canada,Dual_Similar_Degree (DSD),mistral_7B,1.5,8.0,7.0,1.0,[]
69,U.S.S.R.-Israel,Dual_Similar_Degree (DSD),mistral_7B,1.5,8.0,8.0,0.0,[]
70,England-Ireland,Dual_Similar_Degree (DSD),mistral_7B,1.5,8.0,9.0,-1.0,[]
71,Germany-Austria,Dual_Similar_Degree (DSD),mistral_7B,1.5,8.0,8.0,0.0,[]
72,U.S.S.R.-France,Dual_Similar_Degree (DSD),mistral_7B,1.5,5.0,7.0,-2.0,[]
73,Belgium-Luxembourg,Dual_Similar_Degree (DSD),mistral_7B,1.5,9.0,9.0,0.0,[]
74,U.S.A.-U.S.S.R.,Dual_Similar_Degree (DSD),mistral_7B,1.5,6.0,7.0,-1.0,[]
75,China-North Korea,Dual_Similar_Degree (DSD),mistral_7B,1.5,15.0,13.0,2.0,[]
76,India-Sri Lanka,Dual_Similar_Degree (DSD),mistral_7B,1.5,7.0,9.0,-2.0,[]
77,U.S.A.-France,Dual_Similar_Degree (DSD),mistral_7B,1.5,9.0,9.0,0.0,[]
78,U.S.S.R.-Cuba,Dual_Similar_Degree (DSD),mistral_7B,1.5,5.0,5.0,0.0,[]
79,England-Jordan,Dual_Similar_Degree (DSD),mistral_7B,1.5,6.0,4.0,2.0,[]
80,France-Israel,Dual_Similar_Degree (DSD),mistral_7B,1.5,8.0,9.0,-1.0,[]
81,U.S.A.-Germany,Dual_Similar_Degree (DSD),mistral_7B,1.5,9.0,8.0,1.0,[]
82,U.S.S.R.-Syria,Dual_Similar_Degree (DSD),mistral_7B,1.5,0.0,2.0,-2.0,[]
83,France-Algeria,Dual_Similar_Degree (DSD),mistral_7B,1.5,7.0,7.0,0.0,[]
84,U.S.A.-Mexico,Dual_Similar_Degree (DSD),llama2_7B,0.001,10.0,5.0,5.0,[]
85,U.S.S.R.-Poland,Dual_Similar_Degree (DSD),llama2_7B,0.001,10.0,5.0,5.0,[]
86,China-Albania,Dual_Similar_Degree (DSD),llama2_7B,0.001,5.0,10.0,-5.0,[]
87,U.S.A.-Israel,Dual_Similar_Degree (DSD),llama2_7B,0.001,15.0,8.0,7.0,[]
88,Japan-Philippines,Dual_Similar_Degree (DSD),llama2_7B,0.001,10.0,5.0,5.0,[]
89,U.S.A.-Canada,Dual_Similar_Degree (DSD),llama2_7B,0.001,10.0,8.0,2.0,[]
90,U.S.S.R.-Israel,Dual_Similar_Degree (DSD),llama2_7B,0.001,10.0,5.0,5.0,[]
91,England-Ireland,Dual_Similar_Degree (DSD),llama2_7B,0.001,10.0,5.0,5.0,[]
