country_pair,prompt_style,model_name,temperature,sim_score_1,sim_score_2,sim_diff
U.S.A.-Mexico,SSD,mistral_7B,0.001,12,12,0
U.S.S.R.-Poland,SSD,mistral_7B,0.001,10,2,8
China-Albania,SSD,mistral_7B,0.001,3,2,1
U.S.A.-Israel,SSD,mistral_7B,0.001,12,12,0
Japan-Philippines,SSD,mistral_7B,0.001,12,12,0
U.S.A.-Canada,SSD,mistral_7B,0.001,18,12,6
U.S.S.R.-Israel,SSD,mistral_7B,0.001,10,2,8
England-Ireland,SSD,mistral_7B,0.001,12,12,0
Germany-Austria,SSD,mistral_7B,0.001,18,18,0
U.S.S.R.-France,SSD,mistral_7B,0.001,10,0,10
Belgium-Luxembourg,SSD,mistral_7B,0.001,18,18,0
U.S.A.-U.S.S.R.,SSD,mistral_7B,0.001,2,10,-8
China-North Korea,SSD,mistral_7B,0.001,10,12,-2
India-Sri Lanka,SSD,mistral_7B,0.001,12,12,0
U.S.A.-France,SSD,mistral_7B,0.001,12,12,0
U.S.S.R.-Cuba,SSD,mistral_7B,0.001,10,2,8
England-Jordan,SSD,mistral_7B,0.001,3,10,-7
France-Israel,SSD,mistral_7B,0.001,12,12,0
U.S.A.-Germany,SSD,mistral_7B,0.001,12,12,0
U.S.S.R.-Syria,SSD,mistral_7B,0.001,2,2,0
France-Algeria,SSD,mistral_7B,0.001,10,12,-2
U.S.A.-Mexico,SSD,mistral_7B,0.5,8,12,-4
U.S.S.R.-Poland,SSD,mistral_7B,0.5,10,2,8
China-Albania,SSD,mistral_7B,0.5,4,2,2
U.S.A.-Israel,SSD,mistral_7B,0.5,12,10,2
Japan-Philippines,SSD,mistral_7B,0.5,8,8,0
U.S.A.-Canada,SSD,mistral_7B,0.5,15,12,3
U.S.S.R.-Israel,SSD,mistral_7B,0.5,10,0,10
England-Ireland,SSD,mistral_7B,0.5,18,12,6
Germany-Austria,SSD,mistral_7B,0.5,18,17,1
