country_pair,prompt_style,model_name,temperature,sim_score_1,sim_score_2,sim_diff
U.S.A.-Mexico,SSD,gpt-3.5-turbo,0.001,15,15,0
U.S.S.R.-Poland,SSD,gpt-3.5-turbo,0.001,15,10,5
China-Albania,SSD,gpt-3.5-turbo,0.001,5,10,-5
U.S.A.-Israel,SSD,gpt-3.5-turbo,0.001,15,15,0
Japan-Philippines,SSD,gpt-3.5-turbo,0.001,15,15,0
U.S.A.-Canada,SSD,gpt-3.5-turbo,0.001,15,15,0
U.S.S.R.-Israel,SSD,gpt-3.5-turbo,0.001,5,5,0
England-Ireland,SSD,gpt-3.5-turbo,0.001,15,15,0
Germany-Austria,SSD,gpt-3.5-turbo,0.001,18,18,0
U.S.S.R.-France,SSD,gpt-3.5-turbo,0.001,10,5,5
Belgium-Luxembourg,SSD,gpt-3.5-turbo,0.001,15,15,0
U.S.A.-U.S.S.R.,SSD,gpt-3.5-turbo,0.001,5,10,-5
China-North Korea,SSD,gpt-3.5-turbo,0.001,10,15,-5
India-Sri Lanka,SSD,gpt-3.5-turbo,0.001,15,15,0
U.S.A.-France,SSD,gpt-3.5-turbo,0.001,15,15,0
U.S.S.R.-Cuba,SSD,gpt-3.5-turbo,0.001,15,15,0
England-Jordan,SSD,gpt-3.5-turbo,0.001,10,15,-5
France-Israel,SSD,gpt-3.5-turbo,0.001,12,15,-3
U.S.A.-Germany,SSD,gpt-3.5-turbo,0.001,15,15,0
U.S.S.R.-Syria,SSD,gpt-3.5-turbo,0.001,5,15,-10
France-Algeria,SSD,gpt-3.5-turbo,0.001,10,12,-2
U.S.A.-Mexico,SSD,gpt-3.5-turbo,0.5,15,15,0
U.S.S.R.-Poland,SSD,gpt-3.5-turbo,0.5,15,10,5
China-Albania,SSD,gpt-3.5-turbo,0.5,5,10,-5
U.S.A.-Israel,SSD,gpt-3.5-turbo,0.5,15,15,0
Japan-Philippines,SSD,gpt-3.5-turbo,0.5,15,15,0
U.S.A.-Canada,SSD,gpt-3.5-turbo,0.5,15,15,0
U.S.S.R.-Israel,SSD,gpt-3.5-turbo,0.5,5,5,0
England-Ireland,SSD,gpt-3.5-turbo,0.5,15,15,0
Germany-Austria,SSD,gpt-3.5-turbo,0.5,18,16,2
U.S.S.R.-France,SSD,gpt-3.5-turbo,0.5,10,5,5
Belgium-Luxembourg,SSD,gpt-3.5-turbo,0.5,15,16,-1
U.S.A.-U.S.S.R.,SSD,gpt-3.5-turbo,0.5,5,5,0
China-North Korea,SSD,gpt-3.5-turbo,0.5,10,15,-5
India-Sri Lanka,SSD,gpt-3.5-turbo,0.5,15,15,0
U.S.A.-France,SSD,gpt-3.5-turbo,0.5,15,15,0
U.S.S.R.-Cuba,SSD,gpt-3.5-turbo,0.5,15,15,0
England-Jordan,SSD,gpt-3.5-turbo,0.5,10,15,-5
France-Israel,SSD,gpt-3.5-turbo,0.5,12,15,-3
U.S.A.-Germany,SSD,gpt-3.5-turbo,0.5,15,15,0
U.S.S.R.-Syria,SSD,gpt-3.5-turbo,0.5,5,15,-10
France-Algeria,SSD,gpt-3.5-turbo,0.5,13,12,1
U.S.A.-Mexico,SSD,gpt-3.5-turbo,1.0,15,15,0
U.S.S.R.-Poland,SSD,gpt-3.5-turbo,1.0,15,15,0
China-Albania,SSD,gpt-3.5-turbo,1.0,8,10,-2
U.S.A.-Israel,SSD,gpt-3.5-turbo,1.0,15,15,0
Japan-Philippines,SSD,gpt-3.5-turbo,1.0,10,15,-5
U.S.A.-Canada,SSD,gpt-3.5-turbo,1.0,15,15,0
U.S.S.R.-Israel,SSD,gpt-3.5-turbo,1.0,5,5,0
England-Ireland,SSD,gpt-3.5-turbo,1.0,15,15,0
Germany-Austria,SSD,gpt-3.5-turbo,1.0,18,18,0
U.S.S.R.-France,SSD,gpt-3.5-turbo,1.0,8,5,3
Belgium-Luxembourg,SSD,gpt-3.5-turbo,1.0,15,15,0
U.S.A.-U.S.S.R.,SSD,gpt-3.5-turbo,1.0,5,10,-5
China-North Korea,SSD,gpt-3.5-turbo,1.0,8,15,-7
India-Sri Lanka,SSD,gpt-3.5-turbo,1.0,15,15,0
U.S.A.-France,SSD,gpt-3.5-turbo,1.0,15,15,0
U.S.S.R.-Cuba,SSD,gpt-3.5-turbo,1.0,15,15,0
England-Jordan,SSD,gpt-3.5-turbo,1.0,10,15,-5
France-Israel,SSD,gpt-3.5-turbo,1.0,15,14,1
U.S.A.-Germany,SSD,gpt-3.5-turbo,1.0,15,15,0
U.S.S.R.-Syria,SSD,gpt-3.5-turbo,1.0,5,15,-10
France-Algeria,SSD,gpt-3.5-turbo,1.0,12,12,0
U.S.A.-Mexico,SSD,gpt-3.5-turbo,1.5,15,10,5
U.S.S.R.-Poland,SSD,gpt-3.5-turbo,1.5,15,10,5
China-Albania,SSD,gpt-3.5-turbo,1.5,10,10,0
U.S.A.-Israel,SSD,gpt-3.5-turbo,1.5,15,16,-1
Japan-Philippines,SSD,gpt-3.5-turbo,1.5,10,15,-5
U.S.A.-Canada,SSD,gpt-3.5-turbo,1.5,15,15,0
U.S.S.R.-Israel,SSD,gpt-3.5-turbo,1.5,10,8,2
England-Ireland,SSD,gpt-3.5-turbo,1.5,18,15,3
Germany-Austria,SSD,gpt-3.5-turbo,1.5,17,15,2
