,temperature,model_name,non_zero_score_diff
0,0.001,gpt-3.5-turbo,7
1,0.001,gpt-4,7
2,0.001,llama2_13B,3
3,0.001,llama2_70B,7
4,0.001,llama2_7B,3
5,0.001,llama3_8B,9
6,0.001,mistral_7B,8
7,0.5,gpt-3.5-turbo,6
8,0.5,gpt-4,9
9,0.5,llama2_13B,7
10,0.5,llama2_70B,16
11,0.5,llama2_7B,5
12,0.5,llama3_8B,14
13,0.5,mistral_7B,18
14,1.0,gpt-3.5-turbo,12
15,1.0,gpt-4,13
16,1.0,llama2_13B,16
17,1.0,llama2_70B,12
18,1.0,llama2_7B,12
19,1.0,llama3_8B,17
20,1.0,mistral_7B,18
21,1.5,gpt-3.5-turbo,13
22,1.5,gpt-4,17
23,1.5,llama2_13B,15
24,1.5,llama2_70B,14
25,1.5,llama2_7B,14
26,1.5,llama3_8B,17
27,1.5,mistral_7B,17
