,country_pair,prompt_style,model_name,temperature,sim_score_1,sim_score_2,sim_diff,p-values
0,U.S.A.-Mexico,Single_Similar_To (SST),mistral_7B,0.001,18,18.0,0.0,[]
1,U.S.S.R.-Poland,Single_Similar_To (SST),mistral_7B,0.001,15,1.0,14.0,[]
2,China-Albania,Single_Similar_To (SST),mistral_7B,0.001,15,0.0,15.0,[]
3,U.S.A.-Israel,Single_Similar_To (SST),mistral_7B,0.001,18,14.0,4.0,[]
4,Japan-Philippines,Single_Similar_To (SST),mistral_7B,0.001,18,18.0,0.0,[]
5,U.S.A.-Canada,Single_Similar_To (SST),mistral_7B,0.001,18,18.0,0.0,[]
6,U.S.S.R.-Israel,Single_Similar_To (SST),mistral_7B,0.001,15,0.0,15.0,[]
7,England-Ireland,Single_Similar_To (SST),mistral_7B,0.001,19,19.0,0.0,[]
8,Germany-Austria,Single_Similar_To (SST),mistral_7B,0.001,18,18.0,0.0,[]
9,U.S.S.R.-France,Single_Similar_To (SST),mistral_7B,0.001,10,0.0,10.0,[]
10,Belgium-Luxembourg,Single_Similar_To (SST),mistral_7B,0.001,19,19.0,0.0,[]
11,U.S.A.-U.S.S.R.,Single_Similar_To (SST),mistral_7B,0.001,1,10.0,-9.0,[]
12,China-North Korea,Single_Similar_To (SST),mistral_7B,0.001,17,15.0,2.0,[]
13,India-Sri Lanka,Single_Similar_To (SST),mistral_7B,0.001,18,18.0,0.0,[]
14,U.S.A.-France,Single_Similar_To (SST),mistral_7B,0.001,15,15.0,0.0,[]
15,U.S.S.R.-Cuba,Single_Similar_To (SST),mistral_7B,0.001,15,1.0,14.0,[]
16,England-Jordan,Single_Similar_To (SST),mistral_7B,0.001,15,15.0,0.0,[]
17,France-Israel,Single_Similar_To (SST),mistral_7B,0.001,17,15.0,2.0,[]
18,U.S.A.-Germany,Single_Similar_To (SST),mistral_7B,0.001,15,15.0,0.0,[]
19,U.S.S.R.-Syria,Single_Similar_To (SST),mistral_7B,0.001,1,1.0,0.0,[]
20,France-Algeria,Single_Similar_To (SST),mistral_7B,0.001,16,16.0,0.0,[]
21,U.S.A.-Mexico,Single_Similar_To (SST),mistral_7B,0.5,7,8.0,-1.0,[]
22,U.S.S.R.-Poland,Single_Similar_To (SST),mistral_7B,0.5,18,1.0,17.0,[]
23,China-Albania,Single_Similar_To (SST),mistral_7B,0.5,3,10.0,-7.0,[]
24,U.S.A.-Israel,Single_Similar_To (SST),mistral_7B,0.5,17,15.0,2.0,[]
25,Japan-Philippines,Single_Similar_To (SST),mistral_7B,0.5,15,16.0,-1.0,[]
26,U.S.A.-Canada,Single_Similar_To (SST),mistral_7B,0.5,19,15.0,4.0,[]
27,U.S.S.R.-Israel,Single_Similar_To (SST),mistral_7B,0.5,1,1.0,0.0,[]
28,England-Ireland,Single_Similar_To (SST),mistral_7B,0.5,19,16.0,3.0,[]
29,Germany-Austria,Single_Similar_To (SST),mistral_7B,0.5,19,19.0,0.0,[]
30,U.S.S.R.-France,Single_Similar_To (SST),mistral_7B,0.5,0,0.0,0.0,[]
31,Belgium-Luxembourg,Single_Similar_To (SST),mistral_7B,0.5,19,19.0,0.0,[]
32,U.S.A.-U.S.S.R.,Single_Similar_To (SST),mistral_7B,0.5,0,10.0,-10.0,[]
33,China-North Korea,Single_Similar_To (SST),mistral_7B,0.5,18,18.0,0.0,[]
34,India-Sri Lanka,Single_Similar_To (SST),mistral_7B,0.5,19,18.0,1.0,[]
35,U.S.A.-France,Single_Similar_To (SST),mistral_7B,0.5,8,14.0,-6.0,[]
36,U.S.S.R.-Cuba,Single_Similar_To (SST),mistral_7B,0.5,15,0.0,15.0,[]
37,England-Jordan,Single_Similar_To (SST),mistral_7B,0.5,8,14.0,-6.0,[]
38,France-Israel,Single_Similar_To (SST),mistral_7B,0.5,15,14.0,1.0,[]
39,U.S.A.-Germany,Single_Similar_To (SST),mistral_7B,0.5,8,16.0,-8.0,[]
40,U.S.S.R.-Syria,Single_Similar_To (SST),mistral_7B,0.5,5,8.0,-3.0,[]
41,France-Algeria,Single_Similar_To (SST),mistral_7B,0.5,8,16.0,-8.0,[]
42,U.S.A.-Mexico,Single_Similar_To (SST),mistral_7B,1.0,9,7.0,2.0,[]
43,U.S.S.R.-Poland,Single_Similar_To (SST),mistral_7B,1.0,4,2.0,2.0,[]
44,China-Albania,Single_Similar_To (SST),mistral_7B,1.0,7,0.0,7.0,[]
45,U.S.A.-Israel,Single_Similar_To (SST),mistral_7B,1.0,15,17.0,-2.0,[]
46,Japan-Philippines,Single_Similar_To (SST),mistral_7B,1.0,18,8.0,10.0,[]
47,U.S.A.-Canada,Single_Similar_To (SST),mistral_7B,1.0,17,18.0,-1.0,[]
48,U.S.S.R.-Israel,Single_Similar_To (SST),mistral_7B,1.0,8,5.0,3.0,[]
49,England-Ireland,Single_Similar_To (SST),mistral_7B,1.0,16,19.0,-3.0,[]
50,Germany-Austria,Single_Similar_To (SST),mistral_7B,1.0,19,8.0,11.0,[]
51,U.S.S.R.-France,Single_Similar_To (SST),mistral_7B,1.0,5,1.0,4.0,[]
52,Belgium-Luxembourg,Single_Similar_To (SST),mistral_7B,1.0,9,18.0,-9.0,[]
53,U.S.A.-U.S.S.R.,Single_Similar_To (SST),mistral_7B,1.0,5,4.0,1.0,[]
54,China-North Korea,Single_Similar_To (SST),mistral_7B,1.0,7,5.0,2.0,[]
55,India-Sri Lanka,Single_Similar_To (SST),mistral_7B,1.0,16,17.0,-1.0,[]
56,U.S.A.-France,Single_Similar_To (SST),mistral_7B,1.0,5,7.0,-2.0,[]
57,U.S.S.R.-Cuba,Single_Similar_To (SST),mistral_7B,1.0,7,15.0,-8.0,[]
58,England-Jordan,Single_Similar_To (SST),mistral_7B,1.0,7,5.0,2.0,[]
59,France-Israel,Single_Similar_To (SST),mistral_7B,1.0,6,6.0,0.0,[]
60,U.S.A.-Germany,Single_Similar_To (SST),mistral_7B,1.0,8,7.0,1.0,[]
61,U.S.S.R.-Syria,Single_Similar_To (SST),mistral_7B,1.0,1,4.0,-3.0,[]
62,France-Algeria,Single_Similar_To (SST),mistral_7B,1.0,14,15.0,-1.0,[]
63,U.S.A.-Mexico,Single_Similar_To (SST),mistral_7B,1.5,6,16.0,-10.0,[]
64,U.S.S.R.-Poland,Single_Similar_To (SST),mistral_7B,1.5,7,6.0,1.0,[]
65,China-Albania,Single_Similar_To (SST),mistral_7B,1.5,15,3.0,12.0,[]
66,U.S.A.-Israel,Single_Similar_To (SST),mistral_7B,1.5,17,9.0,8.0,[]
67,Japan-Philippines,Single_Similar_To (SST),mistral_7B,1.5,17,16.0,1.0,[]
68,U.S.A.-Canada,Single_Similar_To (SST),mistral_7B,1.5,19,7.0,12.0,[]
69,U.S.S.R.-Israel,Single_Similar_To (SST),mistral_7B,1.5,7,15.0,-8.0,[]
70,England-Ireland,Single_Similar_To (SST),mistral_7B,1.5,19,18.0,1.0,[]
71,Germany-Austria,Single_Similar_To (SST),mistral_7B,1.5,8,19.0,-11.0,[]
72,U.S.S.R.-France,Single_Similar_To (SST),mistral_7B,1.5,5,4.0,1.0,[]
73,Belgium-Luxembourg,Single_Similar_To (SST),mistral_7B,1.5,18,17.0,1.0,[]
74,U.S.A.-U.S.S.R.,Single_Similar_To (SST),mistral_7B,1.5,3,3.0,0.0,[]
75,China-North Korea,Single_Similar_To (SST),mistral_7B,1.5,5,16.0,-11.0,[]
76,India-Sri Lanka,Single_Similar_To (SST),mistral_7B,1.5,19,17.0,2.0,[]
77,U.S.A.-France,Single_Similar_To (SST),mistral_7B,1.5,4,19.0,-15.0,[]
78,U.S.S.R.-Cuba,Single_Similar_To (SST),mistral_7B,1.5,14,8.0,6.0,[]
79,England-Jordan,Single_Similar_To (SST),mistral_7B,1.5,10,4.0,6.0,[]
80,France-Israel,Single_Similar_To (SST),mistral_7B,1.5,15,9.0,6.0,[]
81,U.S.A.-Germany,Single_Similar_To (SST),mistral_7B,1.5,15,7.0,8.0,[]
82,U.S.S.R.-Syria,Single_Similar_To (SST),mistral_7B,1.5,14,12.0,2.0,[]
83,France-Algeria,Single_Similar_To (SST),mistral_7B,1.5,6,17.0,-11.0,[]
84,U.S.A.-Mexico,Single_Similar_To (SST),llama2_7B,0.001,15,15.0,0.0,[]
85,U.S.S.R.-Poland,Single_Similar_To (SST),llama2_7B,0.001,15,5.0,10.0,[]
86,China-Albania,Single_Similar_To (SST),llama2_7B,0.001,5,5.0,0.0,[]
87,U.S.A.-Israel,Single_Similar_To (SST),llama2_7B,0.001,15,15.0,0.0,[]
88,Japan-Philippines,Single_Similar_To (SST),llama2_7B,0.001,10,15.0,-5.0,[]
89,U.S.A.-Canada,Single_Similar_To (SST),llama2_7B,0.001,15,15.0,0.0,[]
90,U.S.S.R.-Israel,Single_Similar_To (SST),llama2_7B,0.001,8,5.0,3.0,[]
91,England-Ireland,Single_Similar_To (SST),llama2_7B,0.001,15,15.0,0.0,[]
92,Germany-Austria,Single_Similar_To (SST),llama2_7B,0.001,15,15.0,0.0,[]
93,U.S.S.R.-France,Single_Similar_To (SST),llama2_7B,0.001,10,5.0,5.0,[]
94,Belgium-Luxembourg,Single_Similar_To (SST),llama2_7B,0.001,15,15.0,0.0,[]
95,U.S.A.-U.S.S.R.,Single_Similar_To (SST),llama2_7B,0.001,5,10.0,-5.0,[]
96,China-North Korea,Single_Similar_To (SST),llama2_7B,0.001,10,15.0,-5.0,[]
97,India-Sri Lanka,Single_Similar_To (SST),llama2_7B,0.001,15,15.0,0.0,[]
98,U.S.A.-France,Single_Similar_To (SST),llama2_7B,0.001,10,10.0,0.0,[]
99,U.S.S.R.-Cuba,Single_Similar_To (SST),llama2_7B,0.001,15,15.0,0.0,[]
100,England-Jordan,Single_Similar_To (SST),llama2_7B,0.001,10,10.0,0.0,[]
101,France-Israel,Single_Similar_To (SST),llama2_7B,0.001,10,10.0,0.0,[]
102,U.S.A.-Germany,Single_Similar_To (SST),llama2_7B,0.001,10,10.0,0.0,[]
103,U.S.S.R.-Syria,Single_Similar_To (SST),llama2_7B,0.001,5,10.0,-5.0,[]
104,France-Algeria,Single_Similar_To (SST),llama2_7B,0.001,10,10.0,0.0,[]
105,U.S.A.-Mexico,Single_Similar_To (SST),llama2_7B,0.5,15,15.0,0.0,[]
106,U.S.S.R.-Poland,Single_Similar_To (SST),llama2_7B,0.5,8,5.0,3.0,[]
107,China-Albania,Single_Similar_To (SST),llama2_7B,0.5,8,5.0,3.0,[]
108,U.S.A.-Israel,Single_Similar_To (SST),llama2_7B,0.5,15,10.0,5.0,[]
109,Japan-Philippines,Single_Similar_To (SST),llama2_7B,0.5,8,15.0,-7.0,[]
110,U.S.A.-Canada,Single_Similar_To (SST),llama2_7B,0.5,15,15.0,0.0,[]
111,U.S.S.R.-Israel,Single_Similar_To (SST),llama2_7B,0.5,8,5.0,3.0,[]
112,England-Ireland,Single_Similar_To (SST),llama2_7B,0.5,15,15.0,0.0,[]
113,Germany-Austria,Single_Similar_To (SST),llama2_7B,0.5,15,15.0,0.0,[]
114,U.S.S.R.-France,Single_Similar_To (SST),llama2_7B,0.5,10,5.0,5.0,[]
115,Belgium-Luxembourg,Single_Similar_To (SST),llama2_7B,0.5,15,15.0,0.0,[]
116,U.S.A.-U.S.S.R.,Single_Similar_To (SST),llama2_7B,0.5,10,10.0,0.0,[]
117,China-North Korea,Single_Similar_To (SST),llama2_7B,0.5,10,15.0,-5.0,[]
118,India-Sri Lanka,Single_Similar_To (SST),llama2_7B,0.5,15,15.0,0.0,[]
119,U.S.A.-France,Single_Similar_To (SST),llama2_7B,0.5,10,15.0,-5.0,[]
120,U.S.S.R.-Cuba,Single_Similar_To (SST),llama2_7B,0.5,15,8.0,7.0,[]
121,England-Jordan,Single_Similar_To (SST),llama2_7B,0.5,10,10.0,0.0,[]
122,France-Israel,Single_Similar_To (SST),llama2_7B,0.5,10,10.0,0.0,[]
123,U.S.A.-Germany,Single_Similar_To (SST),llama2_7B,0.5,15,10.0,5.0,[]
124,U.S.S.R.-Syria,Single_Similar_To (SST),llama2_7B,0.5,5,3.0,2.0,[]
125,France-Algeria,Single_Similar_To (SST),llama2_7B,0.5,8,15.0,-7.0,[]
126,U.S.A.-Mexico,Single_Similar_To (SST),llama2_7B,1.0,15,15.0,0.0,[]
