country_pair,prompt_style,model_name,temperature,sim_score_1,sim_score_2,sim_diff,p-values
U.S.A.-Mexico,dual,mistral_7B,0.001,8.0,8.0,0.0,[]
U.S.S.R.-Poland,dual,mistral_7B,0.001,5.0,5.0,0.0,[]
China-Albania,dual,mistral_7B,0.001,5.0,5.0,0.0,[]
U.S.A.-Israel,dual,mistral_7B,0.001,8.0,8.0,0.0,[]
Japan-Philippines,dual,mistral_7B,0.001,8.0,8.0,0.0,[]
U.S.A.-Canada,dual,mistral_7B,0.001,,,,[]
U.S.S.R.-Israel,dual,mistral_7B,0.001,5.0,5.0,0.0,[]
England-Ireland,dual,mistral_7B,0.001,,,,[]
Germany-Austria,dual,mistral_7B,0.001,,,,[]
U.S.S.R.-France,dual,mistral_7B,0.001,5.0,5.0,0.0,[]
Belgium-Luxembourg,dual,mistral_7B,0.001,,,,[]
U.S.A.-U.S.S.R.,dual,mistral_7B,0.001,0.0,0.0,0.0,[]
China-North Korea,dual,mistral_7B,0.001,8.0,8.0,0.0,[]
India-Sri Lanka,dual,mistral_7B,0.001,,,,[]
U.S.A.-France,dual,mistral_7B,0.001,8.0,8.0,0.0,[]
U.S.S.R.-Cuba,dual,mistral_7B,0.001,8.0,8.0,0.0,[]
England-Jordan,dual,mistral_7B,0.001,5.0,5.0,0.0,[]
France-Israel,dual,mistral_7B,0.001,8.0,8.0,0.0,[]
U.S.A.-Germany,dual,mistral_7B,0.001,8.0,8.0,0.0,[]
U.S.S.R.-Syria,dual,mistral_7B,0.001,5.0,5.0,0.0,[]
France-Algeria,dual,mistral_7B,0.001,,,,[]
U.S.A.-Mexico,dual,mistral_7B,0.5,7.0,7.0,0.0,[]
U.S.S.R.-Poland,dual,mistral_7B,0.5,7.0,6.0,1.0,[]
China-Albania,dual,mistral_7B,0.5,5.0,5.0,0.0,[]
U.S.A.-Israel,dual,mistral_7B,0.5,8.0,9.0,-1.0,[]
Japan-Philippines,dual,mistral_7B,0.5,8.0,8.0,0.0,[]
U.S.A.-Canada,dual,mistral_7B,0.5,8.0,8.0,0.0,[]
U.S.S.R.-Israel,dual,mistral_7B,0.5,6.0,8.0,-2.0,[]
England-Ireland,dual,mistral_7B,0.5,8.0,8.0,0.0,[]
Germany-Austria,dual,mistral_7B,0.5,18.0,18.0,0.0,[]
U.S.S.R.-France,dual,mistral_7B,0.5,0.0,0.0,0.0,[]
Belgium-Luxembourg,dual,mistral_7B,0.5,8.0,7.0,1.0,[]
U.S.A.-U.S.S.R.,dual,mistral_7B,0.5,7.0,7.0,0.0,[]
China-North Korea,dual,mistral_7B,0.5,8.0,8.0,0.0,[]
India-Sri Lanka,dual,mistral_7B,0.5,15.0,14.0,1.0,[]
U.S.A.-France,dual,mistral_7B,0.5,7.0,7.0,0.0,[]
U.S.S.R.-Cuba,dual,mistral_7B,0.5,5.0,5.0,0.0,[]
England-Jordan,dual,mistral_7B,0.5,6.0,7.0,-1.0,[]
France-Israel,dual,mistral_7B,0.5,7.0,7.0,0.0,[]
U.S.A.-Germany,dual,mistral_7B,0.5,8.0,7.0,1.0,[]
