,country_pair,model_name,temperature,non_zero_score_diff
0,Belgium-Luxembourg,gpt-3.5-turbo,0.001,1
1,Belgium-Luxembourg,gpt-3.5-turbo,0.5,1
2,Belgium-Luxembourg,gpt-3.5-turbo,1.0,1
3,Belgium-Luxembourg,gpt-3.5-turbo,1.5,0
4,Belgium-Luxembourg,gpt-4,0.001,0
5,Belgium-Luxembourg,gpt-4,0.5,1
6,Belgium-Luxembourg,gpt-4,1.0,1
7,Belgium-Luxembourg,gpt-4,1.5,0
8,Belgium-Luxembourg,llama2_13B,0.001,0
9,Belgium-Luxembourg,llama2_13B,0.5,0
10,Belgium-Luxembourg,llama2_13B,1.0,0
11,Belgium-Luxembourg,llama2_13B,1.5,1
12,Belgium-Luxembourg,llama2_70B,0.001,0
13,Belgium-Luxembourg,llama2_70B,0.5,0
14,Belgium-Luxembourg,llama2_70B,1.0,1
15,Belgium-Luxembourg,llama2_70B,1.5,0
16,Belgium-Luxembourg,llama2_7B,0.001,0
17,Belgium-Luxembourg,llama2_7B,0.5,0
18,Belgium-Luxembourg,llama2_7B,1.0,0
19,Belgium-Luxembourg,llama2_7B,1.5,0
20,Belgium-Luxembourg,llama3_70B,0.001,1
21,Belgium-Luxembourg,llama3_70B,0.5,1
22,Belgium-Luxembourg,llama3_70B,1.0,1
23,Belgium-Luxembourg,llama3_70B,1.5,1
24,Belgium-Luxembourg,llama3_8B,0.001,1
25,Belgium-Luxembourg,llama3_8B,0.5,0
26,Belgium-Luxembourg,llama3_8B,1.0,1
27,Belgium-Luxembourg,llama3_8B,1.5,1
28,Belgium-Luxembourg,mistral_7B,0.001,0
29,Belgium-Luxembourg,mistral_7B,0.5,0
30,Belgium-Luxembourg,mistral_7B,1.0,1
31,Belgium-Luxembourg,mistral_7B,1.5,1
32,China-Albania,gpt-3.5-turbo,0.001,0
33,China-Albania,gpt-3.5-turbo,0.5,0
34,China-Albania,gpt-3.5-turbo,1.0,1
35,China-Albania,gpt-3.5-turbo,1.5,1
36,China-Albania,gpt-4,0.001,0
37,China-Albania,gpt-4,0.5,0
38,China-Albania,gpt-4,1.0,1
39,China-Albania,gpt-4,1.5,1
40,China-Albania,llama2_13B,0.001,0
41,China-Albania,llama2_13B,0.5,1
42,China-Albania,llama2_13B,1.0,1
43,China-Albania,llama2_13B,1.5,1
44,China-Albania,llama2_70B,0.001,0
45,China-Albania,llama2_70B,0.5,1
46,China-Albania,llama2_70B,1.0,0
47,China-Albania,llama2_70B,1.5,0
48,China-Albania,llama2_7B,0.001,1
49,China-Albania,llama2_7B,0.5,0
50,China-Albania,llama2_7B,1.0,1
51,China-Albania,llama2_7B,1.5,1
52,China-Albania,llama3_70B,0.001,0
53,China-Albania,llama3_70B,0.5,0
54,China-Albania,llama3_70B,1.0,0
55,China-Albania,llama3_70B,1.5,1
56,China-Albania,llama3_8B,0.001,0
57,China-Albania,llama3_8B,0.5,0
58,China-Albania,llama3_8B,1.0,0
59,China-Albania,llama3_8B,1.5,0
60,China-Albania,mistral_7B,0.001,1
61,China-Albania,mistral_7B,0.5,1
62,China-Albania,mistral_7B,1.0,1
63,China-Albania,mistral_7B,1.5,1
64,China-North Korea,gpt-3.5-turbo,0.001,1
65,China-North Korea,gpt-3.5-turbo,0.5,1
66,China-North Korea,gpt-3.5-turbo,1.0,1
67,China-North Korea,gpt-3.5-turbo,1.5,0
68,China-North Korea,gpt-4,0.001,1
69,China-North Korea,gpt-4,0.5,1
70,China-North Korea,gpt-4,1.0,0
71,China-North Korea,gpt-4,1.5,1
72,China-North Korea,llama2_13B,0.001,1
73,China-North Korea,llama2_13B,0.5,1
74,China-North Korea,llama2_13B,1.0,1
75,China-North Korea,llama2_13B,1.5,1
76,China-North Korea,llama2_70B,0.001,0
77,China-North Korea,llama2_70B,0.5,1
78,China-North Korea,llama2_70B,1.0,0
79,China-North Korea,llama2_70B,1.5,1
80,China-North Korea,llama2_7B,0.001,0
81,China-North Korea,llama2_7B,0.5,0
82,China-North Korea,llama2_7B,1.0,1
83,China-North Korea,llama2_7B,1.5,0
84,China-North Korea,llama3_70B,0.001,0
85,China-North Korea,llama3_70B,0.5,0
86,China-North Korea,llama3_70B,1.0,1
87,China-North Korea,llama3_70B,1.5,0
88,China-North Korea,llama3_8B,0.001,0
89,China-North Korea,llama3_8B,0.5,1
90,China-North Korea,llama3_8B,1.0,1
91,China-North Korea,llama3_8B,1.5,1
92,China-North Korea,mistral_7B,0.001,1
93,China-North Korea,mistral_7B,0.5,1
94,China-North Korea,mistral_7B,1.0,1
95,China-North Korea,mistral_7B,1.5,0
96,England-Ireland,gpt-3.5-turbo,0.001,0
97,England-Ireland,gpt-3.5-turbo,0.5,0
98,England-Ireland,gpt-3.5-turbo,1.0,0
99,England-Ireland,gpt-3.5-turbo,1.5,1
100,England-Ireland,gpt-4,0.001,0
101,England-Ireland,gpt-4,0.5,1
102,England-Ireland,gpt-4,1.0,1
103,England-Ireland,gpt-4,1.5,0
104,England-Ireland,llama2_13B,0.001,0
105,England-Ireland,llama2_13B,0.5,0
106,England-Ireland,llama2_13B,1.0,1
107,England-Ireland,llama2_13B,1.5,1
108,England-Ireland,llama2_70B,0.001,0
109,England-Ireland,llama2_70B,0.5,1
110,England-Ireland,llama2_70B,1.0,1
111,England-Ireland,llama2_70B,1.5,1
112,England-Ireland,llama2_7B,0.001,0
113,England-Ireland,llama2_7B,0.5,0
114,England-Ireland,llama2_7B,1.0,0
115,England-Ireland,llama2_7B,1.5,0
116,England-Ireland,llama3_70B,0.001,0
117,England-Ireland,llama3_70B,0.5,0
118,England-Ireland,llama3_70B,1.0,0
119,England-Ireland,llama3_70B,1.5,1
120,England-Ireland,llama3_8B,0.001,0
121,England-Ireland,llama3_8B,0.5,1
122,England-Ireland,llama3_8B,1.0,0
123,England-Ireland,llama3_8B,1.5,1
124,England-Ireland,mistral_7B,0.001,0
125,England-Ireland,mistral_7B,0.5,0
126,England-Ireland,mistral_7B,1.0,1
127,England-Ireland,mistral_7B,1.5,1
128,England-Jordan,gpt-3.5-turbo,0.001,1
129,England-Jordan,gpt-3.5-turbo,0.5,0
130,England-Jordan,gpt-3.5-turbo,1.0,1
131,England-Jordan,gpt-3.5-turbo,1.5,1
132,England-Jordan,gpt-4,0.001,1
133,England-Jordan,gpt-4,0.5,0
134,England-Jordan,gpt-4,1.0,0
135,England-Jordan,gpt-4,1.5,1
136,England-Jordan,llama2_13B,0.001,1
137,England-Jordan,llama2_13B,0.5,1
138,England-Jordan,llama2_13B,1.0,1
139,England-Jordan,llama2_13B,1.5,1
140,England-Jordan,llama2_70B,0.001,1
141,England-Jordan,llama2_70B,0.5,0
142,England-Jordan,llama2_70B,1.0,0
143,England-Jordan,llama2_70B,1.5,1
144,England-Jordan,llama2_7B,0.001,0
145,England-Jordan,llama2_7B,0.5,0
146,England-Jordan,llama2_7B,1.0,0
147,England-Jordan,llama2_7B,1.5,0
148,England-Jordan,llama3_70B,0.001,1
149,England-Jordan,llama3_70B,0.5,1
150,England-Jordan,llama3_70B,1.0,1
151,England-Jordan,llama3_70B,1.5,1
152,England-Jordan,llama3_8B,0.001,1
153,England-Jordan,llama3_8B,0.5,1
154,England-Jordan,llama3_8B,1.0,1
155,England-Jordan,llama3_8B,1.5,1
156,England-Jordan,mistral_7B,0.001,1
157,England-Jordan,mistral_7B,0.5,1
158,England-Jordan,mistral_7B,1.0,1
159,England-Jordan,mistral_7B,1.5,1
160,France-Algeria,gpt-3.5-turbo,0.001,1
161,France-Algeria,gpt-3.5-turbo,0.5,0
162,France-Algeria,gpt-3.5-turbo,1.0,1
163,France-Algeria,gpt-3.5-turbo,1.5,1
164,France-Algeria,gpt-4,0.001,0
165,France-Algeria,gpt-4,0.5,1
166,France-Algeria,gpt-4,1.0,1
167,France-Algeria,gpt-4,1.5,1
168,France-Algeria,llama2_13B,0.001,1
169,France-Algeria,llama2_13B,0.5,1
170,France-Algeria,llama2_13B,1.0,1
171,France-Algeria,llama2_13B,1.5,1
172,France-Algeria,llama2_70B,0.001,0
173,France-Algeria,llama2_70B,0.5,0
174,France-Algeria,llama2_70B,1.0,1
175,France-Algeria,llama2_70B,1.5,1
176,France-Algeria,llama2_7B,0.001,1
177,France-Algeria,llama2_7B,0.5,0
178,France-Algeria,llama2_7B,1.0,1
179,France-Algeria,llama2_7B,1.5,1
180,France-Algeria,llama3_70B,0.001,0
181,France-Algeria,llama3_70B,0.5,0
182,France-Algeria,llama3_70B,1.0,1
183,France-Algeria,llama3_70B,1.5,1
184,France-Algeria,llama3_8B,0.001,0
185,France-Algeria,llama3_8B,0.5,1
186,France-Algeria,llama3_8B,1.0,1
187,France-Algeria,llama3_8B,1.5,1
188,France-Algeria,mistral_7B,0.001,0
189,France-Algeria,mistral_7B,0.5,1
190,France-Algeria,mistral_7B,1.0,1
191,France-Algeria,mistral_7B,1.5,1
192,France-Israel,gpt-3.5-turbo,0.001,0
193,France-Israel,gpt-3.5-turbo,0.5,0
194,France-Israel,gpt-3.5-turbo,1.0,0
195,France-Israel,gpt-3.5-turbo,1.5,1
196,France-Israel,gpt-4,0.001,1
197,France-Israel,gpt-4,0.5,1
198,France-Israel,gpt-4,1.0,1
199,France-Israel,gpt-4,1.5,1
200,France-Israel,llama2_13B,0.001,0
201,France-Israel,llama2_13B,0.5,1
202,France-Israel,llama2_13B,1.0,0
203,France-Israel,llama2_13B,1.5,1
204,France-Israel,llama2_70B,0.001,0
205,France-Israel,llama2_70B,0.5,1
206,France-Israel,llama2_70B,1.0,1
207,France-Israel,llama2_70B,1.5,1
208,France-Israel,llama2_7B,0.001,0
209,France-Israel,llama2_7B,0.5,0
210,France-Israel,llama2_7B,1.0,0
211,France-Israel,llama2_7B,1.5,1
212,France-Israel,llama3_70B,0.001,1
213,France-Israel,llama3_70B,0.5,1
214,France-Israel,llama3_70B,1.0,1
215,France-Israel,llama3_70B,1.5,1
216,France-Israel,llama3_8B,0.001,0
217,France-Israel,llama3_8B,0.5,0
218,France-Israel,llama3_8B,1.0,0
219,France-Israel,llama3_8B,1.5,0
220,France-Israel,mistral_7B,0.001,0
221,France-Israel,mistral_7B,0.5,1
222,France-Israel,mistral_7B,1.0,1
223,France-Israel,mistral_7B,1.5,1
224,Germany-Austria,gpt-3.5-turbo,0.001,0
225,Germany-Austria,gpt-3.5-turbo,0.5,1
226,Germany-Austria,gpt-3.5-turbo,1.0,1
227,Germany-Austria,gpt-3.5-turbo,1.5,0
