,country_pair,prompt_style,model_name,sim_diff,country_pair,prompt_style,model_name,sim_diff,country_pair,prompt_style,model_name,sim_diff,country_pair,prompt_style,model_name,sim_diff,country_pair,prompt_style,model_name,sim_diff,country_pair,prompt_style,model_name,sim_diff
0,U.S.A.-Mexico,Dual_Similar_To (DST),mistral_7B,0.0,U.S.A.-Mexico,Single_Similar_To (SST),mistral_7B,0.0,U.S.A.-Mexico,Single_Similar_And (SSA),mistral_7B,0.0,U.S.A.-Mexico,Dual_Similar_And (DSA),mistral_7B,,U.S.A.-Mexico,Single_Similar_Degree (SSD),mistral_7B,0,U.S.A.-Mexico,Dual_Similar_Degree (DSD),mistral_7B,0.0
1,U.S.S.R.-Poland,Dual_Similar_To (DST),mistral_7B,0.0,U.S.S.R.-Poland,Single_Similar_To (SST),mistral_7B,14.0,U.S.S.R.-Poland,Single_Similar_And (SSA),mistral_7B,5.0,U.S.S.R.-Poland,Dual_Similar_And (DSA),mistral_7B,0.0,U.S.S.R.-Poland,Single_Similar_Degree (SSD),mistral_7B,0,U.S.S.R.-Poland,Dual_Similar_Degree (DSD),mistral_7B,1.0
2,China-Albania,Dual_Similar_To (DST),mistral_7B,0.0,China-Albania,Single_Similar_To (SST),mistral_7B,15.0,China-Albania,Single_Similar_And (SSA),mistral_7B,14.0,China-Albania,Dual_Similar_And (DSA),mistral_7B,0.0,China-Albania,Single_Similar_Degree (SSD),mistral_7B,4,China-Albania,Dual_Similar_Degree (DSD),mistral_7B,0.0
3,U.S.A.-Israel,Dual_Similar_To (DST),mistral_7B,0.0,U.S.A.-Israel,Single_Similar_To (SST),mistral_7B,4.0,U.S.A.-Israel,Single_Similar_And (SSA),mistral_7B,0.0,U.S.A.-Israel,Dual_Similar_And (DSA),mistral_7B,,U.S.A.-Israel,Single_Similar_Degree (SSD),mistral_7B,4,U.S.A.-Israel,Dual_Similar_Degree (DSD),mistral_7B,0.0
4,Japan-Philippines,Dual_Similar_To (DST),mistral_7B,0.0,Japan-Philippines,Single_Similar_To (SST),mistral_7B,0.0,Japan-Philippines,Single_Similar_And (SSA),mistral_7B,0.0,Japan-Philippines,Dual_Similar_And (DSA),mistral_7B,0.0,Japan-Philippines,Single_Similar_Degree (SSD),mistral_7B,0,Japan-Philippines,Dual_Similar_Degree (DSD),mistral_7B,0.0
5,U.S.A.-Canada,Dual_Similar_To (DST),mistral_7B,,U.S.A.-Canada,Single_Similar_To (SST),mistral_7B,0.0,U.S.A.-Canada,Single_Similar_And (SSA),mistral_7B,0.0,U.S.A.-Canada,Dual_Similar_And (DSA),mistral_7B,,U.S.A.-Canada,Single_Similar_Degree (SSD),mistral_7B,0,U.S.A.-Canada,Dual_Similar_Degree (DSD),mistral_7B,0.0
6,U.S.S.R.-Israel,Dual_Similar_To (DST),mistral_7B,0.0,U.S.S.R.-Israel,Single_Similar_To (SST),mistral_7B,15.0,U.S.S.R.-Israel,Single_Similar_And (SSA),mistral_7B,14.0,U.S.S.R.-Israel,Dual_Similar_And (DSA),mistral_7B,0.0,U.S.S.R.-Israel,Single_Similar_Degree (SSD),mistral_7B,9,U.S.S.R.-Israel,Dual_Similar_Degree (DSD),mistral_7B,0.0
7,England-Ireland,Dual_Similar_To (DST),mistral_7B,,England-Ireland,Single_Similar_To (SST),mistral_7B,0.0,England-Ireland,Single_Similar_And (SSA),mistral_7B,1.0,England-Ireland,Dual_Similar_And (DSA),mistral_7B,,England-Ireland,Single_Similar_Degree (SSD),mistral_7B,0,England-Ireland,Dual_Similar_Degree (DSD),mistral_7B,
8,Germany-Austria,Dual_Similar_To (DST),mistral_7B,,Germany-Austria,Single_Similar_To (SST),mistral_7B,0.0,Germany-Austria,Single_Similar_And (SSA),mistral_7B,0.0,Germany-Austria,Dual_Similar_And (DSA),mistral_7B,,Germany-Austria,Single_Similar_Degree (SSD),mistral_7B,0,Germany-Austria,Dual_Similar_Degree (DSD),mistral_7B,
9,U.S.S.R.-France,Dual_Similar_To (DST),mistral_7B,0.0,U.S.S.R.-France,Single_Similar_To (SST),mistral_7B,10.0,U.S.S.R.-France,Single_Similar_And (SSA),mistral_7B,0.0,U.S.S.R.-France,Dual_Similar_And (DSA),mistral_7B,0.0,U.S.S.R.-France,Single_Similar_Degree (SSD),mistral_7B,9,U.S.S.R.-France,Dual_Similar_Degree (DSD),mistral_7B,0.0
